fecha,y,tiendas,m2
2023-04-30,3207076.38,1266,558441.06
2023-05-01,1954066.14,597,221843.42
2023-05-02,10941698.3,2294,1002953.2
2023-05-03,9694474.17,2287,992991.75
2023-05-04,9197444.13,2315,1006840.49
2023-05-05,9593294.7,2297,1002507.21
2023-05-06,10066974.41,2296,1004158.13
2023-05-07,2042160.32,730,282297.2
2023-05-08,9386074.98,2282,996161.53
2023-05-09,8775548.45,2300,1005035.86
2023-05-10,8722796.99,2309,1005469.85
2023-05-11,8508354.03,2306,1001325.93
2023-05-12,9349080.38,2300,1004227.3
2023-05-13,9796822.34,2270,991636.4
2023-05-14,2089547.55,731,282271.93
2023-05-15,8662874.66,2187,955545.41
2023-05-16,8952346.88,2304,1004420.62
2023-05-17,8383744.78,2210,963773.14
2023-05-18,8408296.86,2304,1001663.05
2023-05-19,9244882.46,2301,1002051.85
2023-05-20,9593300.24,2302,1006075.3
2023-05-21,2142908.57,726,280102.42
2023-05-22,9294570.46,2279,993643.61
2023-05-23,8421289.44,2306,1003955.9
2023-05-24,8618755.88,2308,1004731.94
2023-05-25,8727258.88,2308,1005300.15
2023-05-26,9566403.88,2303,1002481.79
2023-05-27,9742995.69,2304,1005085.09
2023-05-28,2208307.41,726,279372.02
2023-05-29,9046945.98,2282,994231.49
2023-05-30,8933826.92,2305,1001901.16
2023-05-31,8512381.23,2211,956703.4
2023-06-01,8899178.8,2311,1000626.12
2023-06-02,9585877.92,2306,1005272.38
2023-06-03,9956665.29,2308,1007999.83
2023-06-04,2340312.02,792,312595.52
2023-06-05,9360720.29,2241,979085.71
2023-06-06,8942787.64,2317,1008670.77
2023-06-07,8703077.65,2314,1006080.87
2023-06-08,7852247.86,2136,924694.07
2023-06-09,9421721.11,2284,996710.0
2023-06-10,9887584.29,2310,1008444.65
2023-06-11,2325543.08,797,318315.6
2023-06-12,9370007.95,2278,989007.97
2023-06-13,8502984.21,2291,996938.32
2023-06-14,8544944.84,2319,1007020.14
2023-06-15,8678307.66,2322,1008176.96
2023-06-16,9565950.65,2314,1008619.2
2023-06-17,10387214.97,2316,1011159.0
2023-06-18,2540135.5,833,334892.24
2023-06-19,9567684.28,2312,1008125.99
2023-06-20,8682030.42,2318,1008983.34
2023-06-21,8506999.21,2324,1009188.58
2023-06-22,8691333.0,2329,1011070.25
2023-06-23,10247124.8,2319,1013172.01
2023-06-24,9725858.01,2118,924430.73
2023-06-25,2962143.83,908,371813.74
2023-06-26,10666903.32,2312,1007008.75
2023-06-27,9545594.14,2324,1011003.53
2023-06-28,9386583.21,2328,1012204.31
2023-06-29,9007366.9,2252,978485.91
2023-06-30,10220318.9,2327,1013479.72
2023-07-01,10908270.56,2323,1014452.35
2023-07-02,2897541.02,900,369592.86
2023-07-03,10335991.71,2309,1004796.74
2023-07-04,9373546.52,2328,1012901.5
2023-07-05,9157890.53,2330,1013602.13
2023-07-06,9079849.95,2339,1016286.48
2023-07-07,9756504.03,2301,1004218.68
2023-07-08,10542655.33,2321,1014180.26
2023-07-09,2763687.87,863,347978.88
2023-07-10,10401739.96,2313,1009193.27
2023-07-11,9431256.21,2317,1010419.66
2023-07-12,8995659.67,2335,1014834.16
2023-07-13,8956498.15,2334,1013336.9
2023-07-14,9756424.82,2324,1010505.22
2023-07-15,10522685.91,2322,1013909.6
2023-07-16,2750320.98,858,345429.03
