fecha,y,tiendas,m2
2021-12-15,4788415.57,2263,992661.6
2021-12-16,9056060.9,2267,994621.16
2021-12-17,9234352.47,2262,993371.54
2021-12-18,9663914.6,2267,995640.37
2021-12-19,2231820.81,1131,498107.42
2021-12-20,8894800.17,2273,992964.09
2021-12-21,8787502.05,2281,996639.56
2021-12-22,8679445.71,2277,996924.77
2021-12-23,10395222.18,2274,997519.88
2021-12-24,9422832.16,2273,997032.09
2021-12-25,21941.63,17,5391.51
2021-12-26,2165661.49,885,378440.75
2021-12-27,8949313.22,2264,993350.34
2021-12-28,8104209.65,2268,995315.98
2021-12-29,8601821.34,2266,994432.16
2021-12-30,10204000.04,2270,996613.89
2021-12-31,9302232.46,2267,995166.54
2022-01-01,55896.82,27,9227.68
2022-01-02,2171814.75,943,402479.42
2022-01-03,8921187.97,2268,995124.75
2022-01-04,8413824.43,2281,995879.89
2022-01-05,9373314.38,2281,996195.08
2022-01-06,472131.42,255,89781.34
2022-01-07,9595686.1,2268,994327.3
2022-01-08,9163710.72,2265,993668.77
2022-01-09,1770732.37,760,316338.86
2022-01-10,9162815.73,2245,984156.67
2022-01-11,8025981.76,2248,985597.94
2022-01-12,7803917.82,2263,987938.38
2022-01-13,7603745.06,2259,986591.38
2022-01-14,8645257.36,2268,992635.96
2022-01-15,9419740.84,2266,994532.82
2022-01-16,1698250.79,655,254491.68
2022-01-17,8446893.83,2229,976650.33
2022-01-18,7745171.39,2248,983829.7
2022-01-19,7598364.43,2257,985527.04
2022-01-20,7635948.36,2223,971746.62
2022-01-21,8809139.29,2267,992897.83
2022-01-22,9335124.69,2251,988143.46
2022-01-23,1667893.85,643,250659.27
2022-01-24,8471020.23,2228,975558.14
2022-01-25,8018500.66,2244,983171.94
2022-01-26,7767062.55,2251,987859.27
2022-01-27,7747678.01,2252,987296.84
2022-01-28,8915755.87,2261,991319.64
2022-01-29,9512949.26,2263,992500.39
2022-01-30,1714866.0,654,253928.13
2022-01-31,8582198.69,2207,964249.6
2022-02-01,8246856.85,2248,984124.65
2022-02-02,7865381.12,2249,980536.33
2022-02-03,7894633.36,2234,975814.51
2022-02-04,8993191.28,2269,994516.78
2022-02-05,9475481.49,2263,992822.13
2022-02-06,1747377.77,654,254376.5
2022-02-07,8577181.04,2247,984666.14
2022-02-08,7858086.49,2254,986464.0
2022-02-09,7707392.7,2257,984877.75
2022-02-10,7765457.17,2261,985254.52
