fecha,y,tiendas,ipc_alimentos_int_2m,ipc_alimentos_window_2_std,ipc_alimentos_int_3m,day_of_week_sin,ipc_alimentos_window_3_std,day_of_week_cos,ipc_general_int_1m,y_window_84_mean,ipc_general_window_3_std,ipc_alimentos_int_1m,es_festivo,month_cos,month_sin,ipc_general_int_3m,y_window_7_mean,ipc_general_int_2m,y_lag_7,es_festivo_lag_1,y_window_7_std
2021-10-08,9232146.04,2244,1.256014434643138,0.039597979745919554,1.5277456705496961,-0.8660254037844385,0.14079891098037856,-0.5000000000000004,1.8394233159333861,7999521.9175,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7709760.512857142,2.6889104999849645,9221162.43,0.0,2705337.533162388
2021-10-09,9435249.2,2146,1.256014434643138,0.039597979745919554,1.5277456705496961,-0.866025403784439,0.14079891098037856,0.49999999999999933,1.8394233159333861,7999023.915952382,0.6508602000431768,1.3128861429832384,1,0.49999999999999933,-0.866025403784439,3.15533980582523,7711329.6,2.6889104999849645,9882451.77,0.0,2706363.2336246804
2021-10-10,1840293.72,676,1.256014434643138,0.039597979745919554,1.5277456705496961,-2.4492935982947064e-16,0.14079891098037856,1.0,1.8394233159333861,7986196.67845238,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7647443.518571428,2.6889104999849645,1797816.23,1.0,2651288.0204499722
2021-10-11,10111511.96,2229,1.256014434643138,0.039597979745919554,1.5277456705496961,0.0,0.14079891098037856,1.0,1.8394233159333861,7983783.57,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7653511.731428572,2.6889104999849645,8946268.96,0.0,2635670.7119089216
2021-10-12,1674326.93,745,1.256014434643138,0.039597979745919554,1.5277456705496961,0.8660254037844386,0.14079891098037856,0.5000000000000001,1.8394233159333861,7989350.920833333,0.6508602000431768,1.3128861429832384,1,0.49999999999999933,-0.866025403784439,3.15533980582523,7819975.0171428565,2.6889104999849645,8274724.13,0.0,2764571.52505546
2021-10-13,9542504.03,2237,1.256014434643138,0.039597979745919554,1.5277456705496961,0.8660254037844387,0.14079891098037856,-0.4999999999999998,1.8394233159333861,7904784.013095237,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,6877061.131428571,2.6889104999849645,8017982.08,1.0,3586914.2213313244
2021-10-14,8380649.27,2228,1.256014434643138,0.039597979745919554,1.5277456705496961,1.2246467991473532e-16,0.14079891098037856,-1.0,1.8394233159333861,7916872.8764285715,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7094849.981428572,2.6889104999849645,7827917.99,0.0,3711841.0333125996
2021-10-15,9076665.13,2237,1.256014434643138,0.039597979745919554,1.5277456705496961,-0.8660254037844385,0.14079891098037856,-0.5000000000000004,1.8394233159333861,7914323.659880953,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7173811.592857143,2.6889104999849645,9232146.04,0.0,3735836.1333674467
2021-10-16,9581154.34,2244,1.256014434643138,0.039597979745919554,1.5277456705496961,-0.866025403784439,0.14079891098037856,0.49999999999999933,1.8394233159333861,7905040.403571429,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7151600.034285715,2.6889104999849645,9435249.2,0.0,3721995.1438806313
2021-10-17,1744542.27,633,1.256014434643138,0.039597979745919554,1.5277456705496961,-2.4492935982947064e-16,0.14079891098037856,1.0,1.8394233159333861,7893033.3888095245,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7172443.625714286,2.6889104999849645,1840293.72,0.0,3737292.391818079
2021-10-18,8588144.79,2209,1.256014434643138,0.039597979745919554,1.5277456705496961,0.0,0.14079891098037856,1.0,1.8394233159333861,7889548.961904762,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7158764.8471428575,2.6889104999849645,10111511.96,0.0,3760166.381051098
2021-10-19,7924859.45,2224,1.256014434643138,0.039597979745919554,1.5277456705496961,0.8660254037844386,0.14079891098037856,0.5000000000000001,1.8394233159333861,7879351.579166667,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,6941140.965714285,2.6889104999849645,1674326.93,0.0,3601527.400777372
2021-10-20,7704584.38,2228,1.256014434643138,0.039597979745919554,1.5277456705496961,0.8660254037844387,0.14079891098037856,-0.4999999999999998,1.8394233159333861,7869331.858333333,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7834074.182857142,2.6889104999849645,9542504.03,0.0,2752969.9589379844
2021-10-21,7759784.71,2232,1.256014434643138,0.039597979745919554,1.5277456705496961,1.2246467991473532e-16,0.14079891098037856,-1.0,1.8394233159333861,7859389.996309524,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7571514.2328571435,2.6889104999849645,8380649.27,0.0,2648538.356147828
2021-10-22,8890193.52,2245,1.256014434643138,0.039597979745919554,1.5277456705496961,-0.8660254037844385,0.14079891098037856,-0.5000000000000004,1.8394233159333861,7847319.184047618,0.6508602000431768,1.3128861429832384,0,0.49999999999999933,-0.866025403784439,3.15533980582523,7482819.295714286,2.6889104999849645,9076665.13,0.0,2627235.9133071597
